location_id,query,country_code,region
colombo,Colombo,LK,South Asia
male,Malé,MV,South Asia
amsterdam,Amsterdam,NL,Europe
miami,Miami,US,North America
singapore,Singapore,SG,Southeast Asia
alexandria,Alexandria,EG,North Africa
venice,Venice,IT,Europe
buenos_aires,Buenos Aires,AR,South America
perth,Perth,AU,Oceania
tokyo,Tokyo,JP,East Asia
kandy,Kandy,LK,South Asia
seattle,Seattle,US,North America
munich,Munich,DE,Europe
canberra,Canberra,AU,Oceania
madrid,Madrid,ES,Europe
nairobi,Nairobi,KE,East Africa
johannesburg,Johannesburg,ZA,Southern Africa
denver,Denver,US,North America
addis_ababa,Addis Ababa,ET,East Africa
kampala,Kampala,UG,East Africa
quito,Quito,EC,South America
bogota,Bogotá,CO,South America
cusco,Cusco,PE,South America
lhasa,Lhasa,CN,East Asia
la_paz,La Paz,BO,South America
leh,Leh,IN,South Asia
shigatse,Shigatse,CN,East Asia
cochabamba,Cochabamba,BO,South America
potosi,Potosí,BO,South America
juliaca,Juliaca,PE,South America
cerro_de_pasco,Cerro de Pasco,PE,South America
uyuni,Uyuni,BO,South America
namche_bazaar,Namche Bazaar,NP,South Asia
parinacota,Parinacota,CL,South America
oruro,Oruro,BO,South America
la_rinconada,La Rinconada,PE,South America
