 block_days   test  statistic        p  permutations   p_holm
          7  level 105.481655 0.062500            32 0.125000
          7 spread   1.155388 0.500000            32 0.500000
          3  level 105.481655 0.000977          2048 0.001953
          3 spread   1.155388 0.358398          2048 0.358398
 month  level_p  spread_p  level_p_holm  spread_p_holm
     1   0.0002    0.5042        0.0048         1.0000
     2   0.0002    0.0654        0.0048         0.7280
     3   0.0002    0.0296        0.0048         0.4440
     4   0.0002    0.0384        0.0048         0.5376
     5   0.0560    0.4592        0.7280         1.0000
     6   0.0078    0.1220        0.1248         1.0000
     7   0.0594    0.4352        0.7280         1.0000
     8   0.0002    0.1622        0.0048         1.0000
     9   0.0002    0.3826        0.0048         1.0000
    10   0.0014    0.1894        0.0238         1.0000
    11   0.2778    0.1230        1.0000         1.0000
    12   0.0002    0.1486        0.0048         1.0000
