Elevation bands [48, 26, 26]
            variable  month      kw_H      p  spearman_rho  p_holm
      temperature_2m      1 66.123773 0.0001     -0.884657  0.0056
      temperature_2m      2 73.383898 0.0001     -0.916741  0.0056
      temperature_2m      3 77.305256 0.0001     -0.914245  0.0056
      temperature_2m      4 77.347852 0.0001     -0.892213  0.0056
      temperature_2m      5 80.666693 0.0001     -0.941557  0.0056
      temperature_2m      6 83.056624 0.0001     -0.935256  0.0056
      temperature_2m      7 81.880156 0.0001     -0.941617  0.0056
      temperature_2m      8 81.291364 0.0001     -0.930899  0.0056
       precipitation      1  2.168469 0.0184      0.092396  0.2760
       precipitation      2  8.465422 0.0004      0.183973  0.0092
       precipitation      3 16.803199 0.0001      0.409254  0.0056
       precipitation      4 14.450285 0.0001      0.392256  0.0056
       precipitation      5 12.288624 0.0010      0.289827  0.0210
       precipitation      6 14.861215 0.0010      0.389712  0.0210
       precipitation      7  6.137883 0.0059      0.324622  0.1003
       precipitation      8 10.136051 0.0032      0.387086  0.0576
      wind_speed_10m      1 27.731206 0.0001     -0.625638  0.0056
      wind_speed_10m      2 30.588174 0.0001     -0.636976  0.0056
      wind_speed_10m      3 37.852028 0.0001     -0.695061  0.0056
      wind_speed_10m      4 35.501030 0.0001     -0.648859  0.0056
      wind_speed_10m      5 31.646314 0.0001     -0.638566  0.0056
      wind_speed_10m      6 25.297646 0.0001     -0.570949  0.0056
      wind_speed_10m      7 24.193515 0.0001     -0.570337  0.0056
      wind_speed_10m      8 22.956143 0.0001     -0.573416  0.0056
relative_humidity_2m      1  0.177701 0.9102     -0.057566  1.0000
relative_humidity_2m      2  0.930944 0.3153     -0.051601  1.0000
relative_humidity_2m      3  3.411181 0.1378      0.060711  1.0000
relative_humidity_2m      4  3.508652 0.0326      0.124801  0.4238
relative_humidity_2m      5 10.928357 0.0014      0.311657  0.0266
relative_humidity_2m      6 18.397776 0.0001      0.454564  0.0056
relative_humidity_2m      7 13.996750 0.0001      0.451600  0.0056
relative_humidity_2m      8 17.076308 0.0001      0.479981  0.0056
    surface_pressure      1 84.579802 0.0001     -0.984471  0.0056
    surface_pressure      2 84.456603 0.0001     -0.987496  0.0056
    surface_pressure      3 84.456603 0.0001     -0.994782  0.0056
    surface_pressure      4 84.456603 0.0001     -0.996216  0.0056
    surface_pressure      5 84.456603 0.0001     -0.994242  0.0056
    surface_pressure      6 84.456603 0.0001     -0.989536  0.0056
    surface_pressure      7 84.456603 0.0001     -0.988792  0.0056
    surface_pressure      8 84.456603 0.0001     -0.988102  0.0056
         cloud_cover      1  0.750279 0.1741     -0.028821  1.0000
         cloud_cover      2  1.411695 0.0816     -0.005648  0.7344
         cloud_cover      3 15.145952 0.0001      0.380295  0.0056
         cloud_cover      4  5.903533 0.0003      0.201212  0.0075
         cloud_cover      5  2.733617 0.2494      0.061813  1.0000
         cloud_cover      6  5.741491 0.0079      0.219649  0.1264
         cloud_cover      7  5.818442 0.0007      0.330756  0.0154
         cloud_cover      8 14.074391 0.0001      0.420051  0.0056
 shortwave_radiation      1  3.538226 0.4136     -0.257665  1.0000
 shortwave_radiation      2  3.722634 0.0536     -0.208421  0.5360
 shortwave_radiation      3  5.565754 0.0463     -0.304870  0.5093
 shortwave_radiation      4  2.488435 0.2155     -0.192521  1.0000
 shortwave_radiation      5  0.114605 0.9346     -0.034421  1.0000
 shortwave_radiation      6  3.779877 0.0352     -0.254208  0.4238
 shortwave_radiation      7  1.692536 0.0260     -0.219307  0.3640
 shortwave_radiation      8  6.309560 0.0003     -0.342843  0.0075
