scope,n,predictor,outcome,r,p,spearman,spearman_p
Regional,100,elevation_m,temperature_2m,-0.9805796808766156,3.810202776822166e-71,-0.9433998597485528,9.0696858898806e-49
Regional,100,elevation_m,precipitation,0.3370071911709792,0.0006067635320547297,0.4052804226240004,2.8793687531729235e-05
Regional,100,elevation_m,wind_speed_10m,-0.5055240772070487,8.117669854668768e-08,-0.579267837419,2.72103983678898e-10
Regional,100,elevation_m,relative_humidity_2m,0.4180553506668175,1.5052367423786912e-05,0.4903871309210343,2.230100101378266e-07
Regional,100,elevation_m,pressure_msl,0.5844553736091569,1.7252229308240145e-10,0.5451833733595015,4.497226491315199e-09
Regional,100,latitude,temperature_2m,-0.31490244008417523,0.001417671484052183,-0.20918754631821218,0.03673076562092362
Regional,100,latitude,precipitation,0.6795864679723884,7.6348050792057e-15,0.6498439762060992,2.5714313694290824e-13
Regional,100,latitude,wind_speed_10m,-0.515902432199074,3.944549615008495e-08,-0.5430988968012227,5.285524581706986e-09
Regional,100,latitude,relative_humidity_2m,0.386004341813173,7.297234617418305e-05,0.3676447644764476,0.00016795450077634481
Regional,100,latitude,pressure_msl,-0.39358804648738266,5.096133796415456e-05,-0.39823571843188804,4.071870440836916e-05
Regional,100,longitude,temperature_2m,0.006790546901769043,0.9465399141212972,-0.014623506221206596,0.8851812762035923
Regional,100,longitude,precipitation,0.2730540889723651,0.005984120448678908,0.41334013516575785,1.918289410032449e-05
Regional,100,longitude,wind_speed_10m,-0.39087976935046814,5.799071635706606e-05,-0.4119719162482678,2.0567294808137854e-05
Regional,100,longitude,relative_humidity_2m,0.2952660518530203,0.0028606268906433588,0.2401080108010801,0.016119228665658035
Regional,100,longitude,pressure_msl,-0.2597492478776963,0.009059703682429508,-0.3018783010716394,0.0022703799626867987
Sri Lanka,30,elevation_m,temperature_2m,-0.9649963280113437,8.195023726877677e-18,-0.905387445038086,6.27433110031334e-12
Sri Lanka,30,elevation_m,precipitation,0.2853164768205389,0.12643617814974628,0.2905890201838027,0.11927486284431874
Sri Lanka,30,elevation_m,wind_speed_10m,-0.5306122713154237,0.00255728173429166,-0.6264501593985431,0.00021264295800717394
Sri Lanka,30,elevation_m,relative_humidity_2m,0.2318257145401919,0.21769331443817103,0.12309406469108598,0.5169608804196798
Sri Lanka,30,elevation_m,pressure_msl,0.7492722693621551,1.896648298641995e-06,0.7553530401861394,1.4017516202637221e-06
Sri Lanka,30,latitude,temperature_2m,0.4252070674198917,0.01916015193055412,0.48859717734759206,0.0061516667879939904
Sri Lanka,30,latitude,precipitation,-0.4777123722653668,0.00759057212438613,-0.41903563447010445,0.02117467806791093
Sri Lanka,30,latitude,wind_speed_10m,0.656377619348427,8.188971506580689e-05,0.3749031580737849,0.04122015242283085
Sri Lanka,30,latitude,relative_humidity_2m,-0.31455645267361504,0.09046129395173264,-0.289432703003337,0.12081907159643643
Sri Lanka,30,latitude,pressure_msl,-0.6111797217912212,0.0003335046659135918,-0.5144331087005324,0.003632926206796285
Sri Lanka,30,longitude,temperature_2m,-0.10978590577170644,0.5635873264548245,-0.08677272275298767,0.648432893349248
Sri Lanka,30,longitude,precipitation,-0.3804837565570759,0.03806213356905373,-0.4896921749632018,0.006020714551513465
Sri Lanka,30,longitude,wind_speed_10m,-0.286712037677225,0.12451064328950606,-0.10052397401383886,0.597125327489918
Sri Lanka,30,longitude,relative_humidity_2m,-0.6246402881755689,0.00022456926754391572,-0.6409343715239153,0.00013568815316383336
Sri Lanka,30,longitude,pressure_msl,0.02356551973067582,0.9016272031736927,0.06174088869586112,0.7458556346958384
Original six,6,elevation_m,temperature_2m,0.6850837788491919,0.13314286813418943,0.5768179036829705,0.23073225195460048
Original six,6,elevation_m,precipitation,-0.6464107437527321,0.16543423079582992,-0.5161002296110789,0.29458374146246064
Original six,6,elevation_m,wind_speed_10m,0.0830108033604697,0.8757698001103523,-0.15179418517972906,0.7740575031656568
Original six,6,elevation_m,relative_humidity_2m,-0.6223206120055065,0.18702616139591624,-0.5768179036829705,0.23073225195460048
Original six,6,elevation_m,pressure_msl,-0.722436736655871,0.10487012137445922,-0.6982532518267538,0.12283946337339603
Original six,6,latitude,temperature_2m,0.6801704442763914,0.13707858337027018,0.6,0.208
Original six,6,latitude,precipitation,-0.797948101744173,0.05711307308234961,-0.6,0.208
Original six,6,latitude,wind_speed_10m,0.653484673889009,0.15930576177906994,0.48571428571428577,0.3287230320699708
Original six,6,latitude,relative_humidity_2m,-0.5155101881460752,0.2952333283993775,-0.6,0.208
Original six,6,latitude,pressure_msl,-0.9246278658497344,0.008307344922457894,-0.942857142857143,0.004804664723032055
Original six,6,longitude,temperature_2m,0.783475246266951,0.06524879181249316,0.7714285714285715,0.07239650145772594
Original six,6,longitude,precipitation,-0.6455709543605153,0.1661682433782827,-0.7714285714285715,0.07239650145772594
Original six,6,longitude,wind_speed_10m,-0.18380450351014196,0.7273980791857206,0.08571428571428573,0.8717434402332361
Original six,6,longitude,relative_humidity_2m,-0.8959363093167746,0.01568041162733267,-0.7714285714285715,0.07239650145772594
Original six,6,longitude,pressure_msl,-0.48646678617044664,0.327860987175977,-0.08571428571428573,0.8717434402332361
