location_id,start,end,hours,name,country_code,region,latitude,longitude,elevation_m,country,timezone
bd_chattogram,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Chattogram,BD,South Asia,22.3569,91.7832,9.0,BD,UTC
bd_dhaka,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Dhaka,BD,South Asia,23.8103,90.4125,19.0,BD,UTC
bd_rangamati,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Rangamati,BD,South Asia,22.7324,92.2985,29.0,BD,UTC
bd_sajek,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Sajek,BD,South Asia,23.3819,92.2938,435.0,BD,UTC
bd_sylhet,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Sylhet,BD,South Asia,24.8949,91.8687,20.0,BD,UTC
bt_chele_la,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Chele La,BT,South Asia,27.3697,89.3461,3807.0,BT,UTC
bt_paro,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Paro,BT,South Asia,27.4287,89.4164,2269.0,BT,UTC
bt_phuentsholing,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Phuentsholing,BT,South Asia,26.8516,89.3884,323.0,BT,UTC
bt_punakha,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Punakha,BT,South Asia,27.591,89.8774,1289.0,BT,UTC
bt_thimphu,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Thimphu,BT,South Asia,27.4728,89.6393,2316.0,BT,UTC
id_berastagi,2026-05-05 00:00:00+00:00,2026-08-31 23:00:00+00:00,2856,Berastagi,ID,Southeast Asia,3.1947,98.5089,1401.0,ID,UTC
id_medan,2026-05-05 00:00:00+00:00,2026-08-31 23:00:00+00:00,2856,Medan,ID,Southeast Asia,3.5952,98.6722,26.0,ID,UTC
in_anamudi,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Anamudi,IN,South Asia,10.169,77.0606,2638.0,IN,UTC
in_bengaluru,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Bengaluru,IN,South Asia,12.9716,77.5946,910.0,IN,UTC
in_chennai,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Chennai,IN,South Asia,13.0827,80.2707,12.0,IN,UTC
in_coimbatore,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Coimbatore,IN,South Asia,11.0168,76.9558,431.0,IN,UTC
in_darjeeling,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Darjeeling,IN,South Asia,27.041,88.2663,2100.0,IN,UTC
in_doddabetta,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Doddabetta,IN,South Asia,11.4016,76.7358,2592.0,IN,UTC
in_gangtok,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Gangtok,IN,South Asia,27.3389,88.6065,1487.0,IN,UTC
in_kanyakumari,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Kanyakumari,IN,South Asia,8.0883,77.5385,33.0,IN,UTC
in_kochi,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Kochi,IN,South Asia,9.9312,76.2673,6.0,IN,UTC
in_kodaikanal,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Kodaikanal,IN,South Asia,10.2381,77.4892,2085.0,IN,UTC
in_lachen,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Lachen,IN,South Asia,27.7287,88.5565,2567.0,IN,UTC
in_madurai,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Madurai,IN,South Asia,9.9252,78.1198,141.0,IN,UTC
in_munnar,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Munnar,IN,South Asia,10.0889,77.0595,1461.0,IN,UTC
in_mysuru,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Mysuru,IN,South Asia,12.2958,76.6394,748.0,IN,UTC
in_nathu_la,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Nathu La,IN,South Asia,27.3868,88.8308,4298.0,IN,UTC
in_ooty,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Ooty,IN,South Asia,11.4102,76.695,2235.0,IN,UTC
in_shillong,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Shillong,IN,South Asia,25.5788,91.8933,1436.0,IN,UTC
in_tawang,2026-04-28 00:00:00+00:00,2026-08-31 23:00:00+00:00,3024,Tawang,IN,South Asia,27.5861,91.8594,2922.0,IN,UTC
