variant,feature,mae_increase_m,split_importance,fold_sd_m
All weather features,cloud_cover,0.041455495216659484,0.0019152916695610394,0.5990897478807183
All weather features,precipitation,-0.33728579303298145,0.0005882896345955151,0.5003813053500027
All weather features,relative_humidity_2m,-0.2882775105201306,0.0005873693923525982,0.38410547716904897
All weather features,shortwave_radiation,-0.0856280871472568,0.0011234367239906578,0.5578203031801591
All weather features,surface_pressure,767.0636269910444,0.6930891889572014,184.65604374658764
All weather features,temperature_2m,238.1885336223889,0.3022145029520622,35.02693216184617
All weather features,wind_speed_10m,0.44642864790035097,0.00048192067023657056,0.6128529417065782
Without surface pressure,cloud_cover,2.5859493969641574,0.005305294777930108,1.146639457992636
Without surface pressure,precipitation,-0.19969384372637997,0.0014322750645582541,1.321368009317391
Without surface pressure,relative_humidity_2m,1.0508044176707054,0.002819471849079005,1.0359605571626338
Without surface pressure,shortwave_radiation,-0.9561319605373853,0.002318419668152139,2.1155332501262123
Without surface pressure,temperature_2m,957.1341118632445,0.9856658439637535,204.10208646580446
Without surface pressure,wind_speed_10m,6.46400261991398,0.002458694676527002,6.6304331061399475
