variant,fold,test_sites,feature,split_importance,mae_increase_m,repeat_sd_m
All weather features,1,30,temperature_2m,0.2980506925594405,199.49618815218736,26.163952532075605
All weather features,1,30,precipitation,0.0003917639408395433,0.02134575396824907,0.059015266572905366
All weather features,1,30,wind_speed_10m,0.0005193546570628591,0.5902946459096359,0.2197222792139967
All weather features,1,30,relative_humidity_2m,0.0007851625620938174,-0.3133554276896021,0.2549627841789425
All weather features,1,30,surface_pressure,0.6965475302189625,566.2976789606613,65.0642903627074
All weather features,1,30,cloud_cover,0.0022633146839122877,-0.12438676574967608,0.9381078679333786
All weather features,1,30,shortwave_radiation,0.0014421813776883698,-0.11200518538560403,0.2015197602936957
All weather features,2,20,temperature_2m,0.26131416542413577,277.83041013767263,41.07158048719536
All weather features,2,20,precipitation,0.001305661621126905,-1.1323191888021575,1.161634567114121
All weather features,2,20,wind_speed_10m,0.0007192771273620453,0.7000503671064365,1.019818550677739
All weather features,2,20,relative_humidity_2m,0.0009865227386107096,-1.0019053936173812,1.4434262683744343
All weather features,2,20,surface_pressure,0.7307327620848948,968.112749359803,133.78356810557605
All weather features,2,20,cloud_cover,0.0027775097153093283,0.9216931827893944,1.4639186704988405
All weather features,2,20,shortwave_radiation,0.0021641012885604597,-0.9722809143761225,3.4860291939260395
All weather features,3,17,temperature_2m,0.22851590060651839,231.3944016639404,51.37180741923443
All weather features,3,17,precipitation,0.0004843394910115454,-0.7919613784907653,0.6310508755262375
All weather features,3,17,wind_speed_10m,0.0003109015010561983,-0.5142738266152698,0.4374551921921338
All weather features,3,17,relative_humidity_2m,0.0002361943762805111,0.048124244851153006,0.2355014678234831
All weather features,3,17,surface_pressure,0.7695762158230973,984.6836698607874,162.9304894585139
All weather features,3,17,cloud_cover,0.0006002321384639222,0.26308460240742093,0.36367631242329973
All weather features,3,17,shortwave_radiation,0.00027621606357217137,-0.005908572949225999,0.22531748506470334
All weather features,4,16,temperature_2m,0.3131407932159012,288.0362860550836,65.00637919820521
All weather features,4,16,precipitation,0.00039376636384639446,0.04223229452842929,0.3212878946673259
All weather features,4,16,wind_speed_10m,0.0005064425321363523,1.4286255222676487,0.7753879121831234
All weather features,4,16,relative_humidity_2m,0.000300984508419681,-0.012956553727360997,0.40823452377431985
All weather features,4,16,surface_pressure,0.682734038430726,842.4702342033057,165.71290111825996
All weather features,4,16,cloud_cover,0.002106341346489511,0.12840705618935963,1.9810379166524925
All weather features,4,16,shortwave_radiation,0.0008176336024806795,0.886157961309561,0.38798632372830777
All weather features,5,17,temperature_2m,0.4210954828338269,219.7102417500878,45.60171096873419
All weather features,5,17,precipitation,0.0003781635084169722,0.06265050444621564,0.2911010181494916
All weather features,5,17,wind_speed_10m,0.0002845575724937273,-0.06954913136502938,0.21807735993490704
All weather features,5,17,relative_humidity_2m,0.0003894441805145603,1.2491070047104813e-05,0.4079635595500544
All weather features,5,17,surface_pressure,0.5759586743275938,596.2371298942506,118.45233545233322
All weather features,5,17,cloud_cover,0.0014220073079311698,-1.0049213118580922,0.7983940913147446
All weather features,5,17,shortwave_radiation,0.00047167026922280604,0.009699029032279682,0.2643779177578278
Without surface pressure,1,30,temperature_2m,0.9865329300622149,729.1234672550947,90.45517554379478
Without surface pressure,1,30,precipitation,0.0007868628807971325,-0.0613785920597266,0.14906646715277114
Without surface pressure,1,30,wind_speed_10m,0.002829661182715329,0.8918207972193031,2.0325905760508194
Without surface pressure,1,30,relative_humidity_2m,0.002034573867115109,2.016936399116955,0.8051944905914318
Without surface pressure,1,30,cloud_cover,0.005790398240392463,2.3950882606309607,2.633848615129208
Without surface pressure,1,30,shortwave_radiation,0.0020255737667649945,-1.135223904012649,0.8064690309155954
Without surface pressure,2,20,temperature_2m,0.981052246233436,1202.818922963532,160.169521230795
Without surface pressure,2,20,precipitation,0.0019083932714915237,0.02652039640085633,1.862970752496544
Without surface pressure,2,20,wind_speed_10m,0.0021888996860761193,3.230649418427075,2.5377050167827844
Without surface pressure,2,20,relative_humidity_2m,0.0027008428553515072,1.01647410627437,4.565219948905008
Without surface pressure,2,20,cloud_cover,0.00867825236654439,1.5700876260857441,6.493543540580853
Without surface pressure,2,20,shortwave_radiation,0.003471365587100403,-4.031902380299738,4.767545891789052
Without surface pressure,3,17,temperature_2m,0.9873266126904765,1147.3767310406488,196.13367266201985
Without surface pressure,3,17,precipitation,0.0018091744909409031,2.1561427615060564,1.7151825335846143
Without surface pressure,3,17,wind_speed_10m,0.003190915057462745,15.247566218842547,8.247984715925138
Without surface pressure,3,17,relative_humidity_2m,0.0032625305068006865,0.6351170787882182,2.7991348812924466
Without surface pressure,3,17,cloud_cover,0.0026013451600361693,3.022118267125691,1.8410461230437638
Without surface pressure,3,17,shortwave_radiation,0.001809422094282936,-2.0022455510009793,3.358909729207266
Without surface pressure,4,16,temperature_2m,0.9858362970702367,1071.0119224024463,226.39061280793604
Without surface pressure,4,16,precipitation,0.001555610778993391,-2.141204170825708,0.9140924410352022
Without surface pressure,4,16,wind_speed_10m,0.002420530583254893,16.444507349171495,5.989113487497503
Without surface pressure,4,16,relative_humidity_2m,0.00355785178631726,-1.0133669675086778,4.642088146997195
Without surface pressure,4,16,cloud_cover,0.0049933715028563355,4.9085043385610785,4.281457961411846
Without surface pressure,4,16,shortwave_radiation,0.0016363382783414616,0.7772738924033107,0.746078668870204
Without surface pressure,5,17,temperature_2m,0.9877422588810759,773.0431484276943,164.13338755497716
Without surface pressure,5,17,precipitation,0.0015181185760112556,-1.238446750073821,2.139774235538909
Without surface pressure,5,17,wind_speed_10m,0.001425152537692528,1.924229788188832,3.8072039951900187
Without surface pressure,5,17,relative_humidity_2m,0.0032061449759252505,1.744691106400802,3.2170625272882085
Without surface pressure,5,17,cloud_cover,0.0034785689108254585,1.4957917292740013,2.383535809493455
Without surface pressure,5,17,shortwave_radiation,0.0026297561184695705,2.393138868305846,1.618838719637412
