variable,months,F,df_num,df_denom,p,country_cluster_p,p_holm,country_p_holm
temperature_2m,"5,6,7,8",6.346503446472096,3.0,99.0,0.0005575493461466302,0.012870325401572211,0.005017944115319672,0.09009227781100548
temperature_2m,"6,7,8",9.510127876784017,2.0,99.0,0.00016676036484128884,0.006641657327364901,0.0016676036484128884,0.05901447828844754
precipitation,"5,6,7,8",1.2075627145655805,3.0,99.0,0.31106079491768135,0.13852759057979214,0.37117762316892794,0.48416197408271877
precipitation,"6,7,8",1.713202044995405,2.0,99.0,0.18558881158446397,0.20970070428652351,0.37117762316892794,0.48416197408271877
wind_speed_10m,"5,6,7,8",2.4151512447552403,3.0,99.0,0.07102498192898178,0.0034907698504793427,0.2737034733308563,0.03839846835527277
wind_speed_10m,"6,7,8",2.755992606871959,2.0,99.0,0.06842586833271408,0.0026735647910271347,0.2737034733308563,0.03208277749232562
relative_humidity_2m,"5,6,7,8",8.910328763166342,3.0,99.0,2.7764952617142034e-05,0.005901447828844754,0.00030541447878856235,0.05901447828844754
relative_humidity_2m,"6,7,8",4.828803478985956,2.0,99.0,0.009976205782784055,0.22367959549383046,0.06983344047948839,0.48416197408271877
surface_pressure,"5,6,7,8",10.914462500058548,3.0,99.0,2.954990306621873e-06,0.059432206045609365,3.545988367946248e-05,0.3565932362736562
surface_pressure,"6,7,8",15.3608678827989,2.0,99.0,1.5481425540144235e-06,0.07926898736731773,2.0125853202187504e-05,0.39634493683658867
cloud_cover,"5,6,7,8",3.295569813784363,3.0,99.0,0.02364573961037507,0.0007164220744319651,0.11822869805187534,0.009313486967615546
cloud_cover,"6,7,8",4.597194433025098,2.0,99.0,0.012325586509679364,0.12104049352067969,0.07395351905807618,0.48416197408271877
shortwave_radiation,"5,6,7,8",12.979568065264063,3.0,99.0,3.2240555710621234e-07,3.142800432575642e-05,4.513677799486973e-06,0.00043999206056058985
shortwave_radiation,"6,7,8",7.390747979949181,2.0,99.0,0.0010195205430586908,0.006309227969114828,0.008156164344469526,0.05901447828844754
