scope,variable,n,pearson,p,spearman,spearman_p
Regional,temperature_2m,100,-0.9805796808766156,3.810202776822166e-71,-0.9433998597485528,9.0696858898806e-49
Regional,precipitation,100,0.3370071911709792,0.0006067635320547297,0.4052804226240004,2.8793687531729235e-05
Regional,wind_speed_10m,100,-0.5055240772070488,8.117669854668644e-08,-0.579267837419,2.72103983678898e-10
Regional,relative_humidity_2m,100,0.4180553506668176,1.50523674237866e-05,0.4903871309210343,2.230100101378266e-07
Regional,surface_pressure,100,-0.9978862523272898,3.6449438075830633e-118,-0.9897764854885978,1.0505409086500844e-84
Regional,cloud_cover,100,0.3121616521100549,0.0015681171362665737,0.3449438990828595,0.00044043520910838857
Regional,shortwave_radiation,100,-0.22939452973295335,0.021686743390196484,-0.29761336843077196,0.0026369215524697657
Sri Lanka,temperature_2m,30,-0.9649963280113437,8.195023726877677e-18,-0.905387445038086,6.27433110031334e-12
Sri Lanka,precipitation,30,0.28531647682053896,0.12643617814974628,0.2905890201838027,0.11927486284431874
Sri Lanka,wind_speed_10m,30,-0.5306122713154237,0.00255728173429166,-0.6264501593985431,0.00021264295800717394
Sri Lanka,relative_humidity_2m,30,0.2318257145401919,0.21769331443817103,0.12309406469108598,0.5169608804196798
Sri Lanka,surface_pressure,30,-0.9995088421867304,1.1606593521283325e-43,-0.9807458391119799,2.095571114441159e-21
Sri Lanka,cloud_cover,30,0.5150814589109152,0.00358333770863827,0.5026766319986885,0.004639940406136821
Sri Lanka,shortwave_radiation,30,-0.12895839144178756,0.4970330445592166,-0.14339887949208374,0.4496648548696476
