variable,month,band,n,median,q25,q75
temperature_2m,1,0,48,24.109879032258064,20.97698252688172,25.36948924731183
temperature_2m,1,1,26,18.36733870967742,15.140961021505378,19.653326612903225
temperature_2m,1,2,26,9.560551075268817,2.0358534946236557,13.802956989247312
temperature_2m,2,0,48,25.043303571428574,22.83939732142857,26.22979910714286
temperature_2m,2,1,26,19.30141369047619,17.786495535714284,21.05654761904762
temperature_2m,2,2,26,10.999032738095238,3.634002976190476,14.728497023809522
temperature_2m,3,0,48,27.072782258064514,25.736659946236557,27.967137096774195
temperature_2m,3,1,26,20.432728494623653,19.101377688172043,21.774462365591397
temperature_2m,3,2,26,12.19005376344086,5.715692204301075,15.920732526881721
temperature_2m,4,0,48,28.464305555555555,27.24902777777778,29.64638888888889
temperature_2m,4,1,26,22.043819444444445,20.08083333333333,23.28267361111111
temperature_2m,4,2,26,14.570486111111112,7.623993055555555,17.704791666666665
temperature_2m,5,0,48,27.864045698924734,26.769220430107524,28.452049731182793
temperature_2m,5,1,26,21.496370967741935,20.607594086021507,23.143682795698926
temperature_2m,5,2,26,14.709744623655915,9.986458333333333,17.468817204301075
temperature_2m,6,0,48,27.552430555555556,26.311145833333335,28.926666666666666
temperature_2m,6,1,26,21.84645833333333,21.004895833333336,23.424166666666665
temperature_2m,6,2,26,15.219583333333334,13.043124999999998,17.2525
temperature_2m,7,0,48,27.397849462365592,26.21011424731183,28.452318548387098
temperature_2m,7,1,26,22.12258064516129,20.564885752688173,23.230006720430108
temperature_2m,7,2,26,15.940524193548388,13.201915322580644,18.279939516129033
temperature_2m,8,0,48,27.346841397849467,26.05453629032258,28.530309139784944
temperature_2m,8,1,26,22.138978494623657,20.654334677419357,23.12899865591398
temperature_2m,8,2,26,15.543010752688174,12.965221774193548,17.978629032258063
precipitation,1,0,48,0.714516129032258,0.008870967741935475,2.569354838709677
precipitation,1,1,26,1.6709677419354838,0.060483870967741875,3.509677419354839
precipitation,1,2,26,1.3774193548387097,0.3766129032258064,2.018548387096774
precipitation,2,0,48,1.0785714285714287,0.23660714285714285,3.1223214285714285
precipitation,2,1,26,4.244642857142857,0.9544642857142858,5.996428571428572
precipitation,2,2,26,2.7392857142857143,1.0410714285714286,5.288392857142857
precipitation,3,0,48,0.7887096774193549,0.4395161290322581,1.9419354838709675
precipitation,3,1,26,2.1225806451612903,1.482258064516129,4.321774193548387
precipitation,3,2,26,2.6887096774193546,1.3741935483870966,6.495967741935484
precipitation,4,0,48,2.3433333333333333,1.0458333333333332,4.708333333333334
precipitation,4,1,26,5.663333333333333,2.0591666666666666,8.851666666666667
precipitation,4,2,26,6.076666666666666,2.604166666666666,8.476666666666667
precipitation,5,0,48,5.825806451612904,3.817741935483871,7.717741935483872
precipitation,5,1,26,7.8193548387096765,7.038709677419355,9.750806451612902
precipitation,5,2,26,8.122580645161289,7.393548387096773,9.512096774193548
precipitation,6,0,48,5.205,2.336666666666667,7.865833333333333
precipitation,6,1,26,7.888333333333334,3.8516666666666666,11.409166666666668
precipitation,6,2,26,10.041666666666666,7.199166666666667,12.116666666666667
precipitation,7,0,48,4.704838709677419,1.0290322580645161,10.89032258064516
precipitation,7,1,26,8.920967741935485,2.47741935483871,18.075000000000003
precipitation,7,2,26,11.84193548387097,3.9467741935483867,14.921774193548387
precipitation,8,0,48,5.561290322580645,1.838709677419355,9.746774193548388
precipitation,8,1,26,9.351612903225805,3.1016129032258064,14.798387096774196
precipitation,8,2,26,10.812903225806451,5.193548387096774,15.866935483870968
wind_speed_10m,1,0,48,2.010409946236559,1.5590557795698925,2.790262096774194
wind_speed_10m,1,1,26,1.4527620967741934,1.1367506720430107,1.5760887096774192
wind_speed_10m,1,2,26,1.110920698924731,0.9625739247311829,1.3943951612903227
wind_speed_10m,2,0,48,2.002953869047619,1.4402157738095238,2.7879761904761904
wind_speed_10m,2,1,26,1.3784300595238097,1.1499293154761907,1.6247544642857144
wind_speed_10m,2,2,26,1.1222247023809524,1.0252232142857143,1.3543638392857142
wind_speed_10m,3,0,48,1.9703158602150537,1.417234543010753,2.3648655913978494
wind_speed_10m,3,1,26,1.3563172043010754,1.0833602150537636,1.4695530913978496
wind_speed_10m,3,2,26,1.1086223118279572,0.9538978494623656,1.2221875
wind_speed_10m,4,0,48,2.0113055555555555,1.50378125,2.754920138888889
wind_speed_10m,4,1,26,1.1357222222222223,1.0260416666666667,1.6673958333333332
wind_speed_10m,4,2,26,1.1339305555555557,0.9400729166666668,1.2496041666666668
wind_speed_10m,5,0,48,2.391081989247312,1.511804435483871,3.4183702956989244
wind_speed_10m,5,1,26,1.5213037634408602,1.0549731182795699,1.9878931451612905
wind_speed_10m,5,2,26,1.1014045698924733,1.0360786290322581,1.4379771505376344
wind_speed_10m,6,0,48,2.8353888888888887,1.9265902777777777,4.234614583333333
wind_speed_10m,6,1,26,1.8283263888888892,1.148861111111111,2.4909652777777778
wind_speed_10m,6,2,26,1.1358402777777776,1.0541527777777775,1.917048611111111
wind_speed_10m,7,0,48,3.1464717741935484,1.9013306451612904,4.650897177419355
wind_speed_10m,7,1,26,1.9788037634408604,1.1555880376344088,3.0607493279569895
wind_speed_10m,7,2,26,1.0876612903225804,0.907258064516129,2.3306014784946236
wind_speed_10m,8,0,48,3.287930107526882,1.9330880376344086,4.561938844086021
wind_speed_10m,8,1,26,1.878225806451613,1.231680107526882,3.3062936827956992
wind_speed_10m,8,2,26,1.0165524193548388,0.8118514784946237,2.4442036290322577
relative_humidity_2m,1,0,48,74.74663978494624,69.92708333333333,79.03024193548387
