variable,month,kw_H,p,spearman_rho,p_holm
temperature_2m,1,66.12377263913055,0.0001,-0.8846571734677862,0.0056
temperature_2m,2,73.3838980778116,0.0001,-0.916741194805851,0.0056
temperature_2m,3,77.30525633794103,0.0001,-0.914244570623914,0.0056
temperature_2m,4,77.34785179536719,0.0001,-0.8922130625184078,0.0056
temperature_2m,5,80.66669311177748,0.0001,-0.9415573991142868,0.0056
temperature_2m,6,83.0566236751864,0.0001,-0.9352558236550711,0.0056
temperature_2m,7,81.8801562196361,0.0001,-0.9416174141186604,0.0056
temperature_2m,8,81.29136401738528,0.0001,-0.9308985265831643,0.0056
precipitation,1,2.1684693066934067,0.0184,0.09239625137778262,0.276
precipitation,2,8.465422037113164,0.0004,0.18397265475055355,0.0092
precipitation,3,16.80319946830613,0.0001,0.4092536424175182,0.0056
precipitation,4,14.450285389287307,0.0001,0.39225577734550715,0.0056
precipitation,5,12.28862392131394,0.001,0.2898268473455033,0.021
precipitation,6,14.861214693193986,0.001,0.3897116429497023,0.021
precipitation,7,6.1378829448248124,0.0059,0.3246216600785521,0.1003
precipitation,8,10.13605095224193,0.0032,0.3870863204551526,0.057600000000000005
wind_speed_10m,1,27.731205552721644,0.0001,-0.6256380732569443,0.0056
wind_speed_10m,2,30.588174470498892,0.0001,-0.6369755539064236,0.0056
wind_speed_10m,3,37.85202794133946,0.0001,-0.6950613864769161,0.0056
wind_speed_10m,4,35.501029875611096,0.0001,-0.6488592022314469,0.0056
wind_speed_10m,5,31.646313645732864,0.0001,-0.6385660421923484,0.0056
wind_speed_10m,6,25.29764616965731,0.0001,-0.5709492835914838,0.0056
wind_speed_10m,7,24.193515183917366,0.0001,-0.5703370956474674,0.0056
wind_speed_10m,8,22.95614276967856,0.0001,-0.5734160408953144,0.0056
relative_humidity_2m,1,0.17770099015110366,0.9102,-0.05756639219504637,1.0
relative_humidity_2m,2,0.9309444021325248,0.3153,-0.051600745941905654,1.0
relative_humidity_2m,3,3.4111805026656725,0.1378,0.06071099627219325,1.0
relative_humidity_2m,4,3.5086520517328705,0.0326,0.12480120159466111,0.42379999999999995
relative_humidity_2m,5,10.928356816450844,0.0014,0.31165698264284264,0.0266
relative_humidity_2m,6,18.397776085300848,0.0001,0.45456428229027895,0.0056
relative_humidity_2m,7,13.996749809596338,0.0001,0.4515995499693553,0.0056
relative_humidity_2m,8,17.076308073115,0.0001,0.47998056038564646,0.0056
surface_pressure,1,84.579801980198,0.0001,-0.9844711750195766,0.0056
surface_pressure,2,84.45660319878147,0.0001,-0.9874959221648104,0.0056
surface_pressure,3,84.45660319878147,0.0001,-0.9947817218360681,0.0056
surface_pressure,4,84.45660319878147,0.0001,-0.9962160761370817,0.0056
surface_pressure,5,84.45660319878147,0.0001,-0.9942415884172764,0.0056
surface_pressure,6,84.45660319878147,0.0001,-0.989536426191357,0.0056
surface_pressure,7,84.45660319878147,0.0001,-0.9887922423699107,0.0056
surface_pressure,8,84.45660319878147,0.0001,-0.9881020718903434,0.0056
cloud_cover,1,0.7502790181147273,0.1741,-0.02882084810947561,1.0
cloud_cover,2,1.4116950296372777,0.0816,-0.0056477338756802465,0.7344
cloud_cover,3,15.14595183536531,0.0001,0.38029475192850953,0.0056
cloud_cover,4,5.903532656992224,0.0003,0.20121177277596206,0.0075
cloud_cover,5,2.7336168139683035,0.2494,0.061812976817886146,1.0
cloud_cover,6,5.741491123239386,0.0079,0.2196494332075133,0.1264
cloud_cover,7,5.818442475613875,0.0007,0.3307555432038924,0.0154
cloud_cover,8,14.074391399761787,0.0001,0.4200509572340419,0.0056
shortwave_radiation,1,3.5382259433613847,0.4136,-0.2576651041624109,1.0
shortwave_radiation,2,3.7226344644274545,0.0536,-0.20842061112498467,0.536
shortwave_radiation,3,5.565754114943786,0.0463,-0.30486959612014225,0.5093
shortwave_radiation,4,2.488435066291525,0.2155,-0.19252110470796524,1.0
shortwave_radiation,5,0.11460486210813295,0.9346,-0.03442056724444869,1.0
shortwave_radiation,6,3.779877183557347,0.0352,-0.25420804283149506,0.42379999999999995
shortwave_radiation,7,1.6925360454299843,0.026,-0.21930732817997475,0.364
shortwave_radiation,8,6.309560059943955,0.0003,-0.3428432541769211,0.0075
