,coef,standard_error,p,ci_low,ci_high
Intercept,23.459367039926107,3.623443154029135,9.523350690885843e-11,16.357548958000784,30.56118512185143
C(month)[T.6],0.37914645061702124,0.14593378324970416,0.009374888209269419,0.09312149131992647,0.6651714099141159
C(month)[T.7],0.4516374452407139,0.20173494441676607,0.025171109897421842,0.056244219760662795,0.8470306707207651
C(month)[T.8],0.3204828753487643,0.20075958936560703,0.11041033383459069,-0.07299868935887593,0.7139644400564045
C(country)[T.BT],1.3763599075827218,0.6195791084155107,0.026320945750676093,0.16200716951488325,2.5907126456505605
C(country)[T.ID],-1.1935454531889929,1.0478501309276145,0.2546855793541358,-3.2472939710026973,0.8602030646247116
C(country)[T.IN],1.049821295140759,0.5631335453387843,0.06228670865858078,-0.05390017220961196,2.15354276249113
C(country)[T.KH],-0.514268327913242,1.138836571849085,0.6515763204428555,-2.7463469930145097,1.717810337188026
C(country)[T.LA],0.1257978081690237,0.7258317742922746,0.8624035368824975,-1.2968063282786402,1.5484019446166875
C(country)[T.LK],0.8223945260234033,0.5802002882414732,0.15635662658879698,-0.3147771427496422,1.959566194796449
C(country)[T.MM],0.10032588098274672,0.4323806585217594,0.816513640918708,-0.7471246373316133,0.9477763992971068
C(country)[T.MY],-0.6894324065701605,1.2065689181424504,0.5677291319225896,-3.05426403099482,1.6753992178544987
C(country)[T.NP],2.0190008252033778,0.5918026740012574,0.0006458007653123024,0.8590888982064147,3.1789127522003406
C(country)[T.SG],-0.6181617693052663,1.3224428677279254,0.6401856102106602,-3.2101021616638667,1.973778623053334
C(country)[T.TH],0.00634336320408424,0.6925267624257258,0.9926916892378927,-1.3509841494804644,1.3636708758886331
C(country)[T.VN],0.6081858203258409,0.8445218410161173,0.47143015461219306,-1.0470465722232105,2.263418212874892
elevation_m,-0.005330760616135132,0.00011673808669802229,0.0,-0.00555956306168737,-0.005101958170582894
latitude,-0.007594854784230659,0.039161732116568294,0.8462262927061961,-0.08435043930491007,0.06916072973644874
longitude,0.043659119404658456,0.04565809238253952,0.3389617800730629,-0.04582909726792159,0.1331473360772385
